DT MSE = 0.952388
 DT RMSE = 0.975904
 DT R Squared = 0.281441
 DT MAE = 0.758522
 DT Explained Variance = 0.491929
 prediction: 6.900490196078431 	 actual rating: 7.3
prediction: 6.51418439716312 	 actual rating: 7.3
prediction: 6.900490196078431 	 actual rating: 7.4
prediction: 7.912048192771087 	 actual rating: 7.3
prediction: 7.577659574468084 	 actual rating: 7.7
prediction: 7.3128834355828225 	 actual rating: 9.1
prediction: 6.900490196078431 	 actual rating: 5.8
prediction: 6.900490196078431 	 actual rating: 6.9
prediction: 7.199319727891158 	 actual rating: 6.4
prediction: 4.908333333333334 	 actual rating: 4.7
prediction: 5.522641509433963 	 actual rating: 4.9
prediction: 6.51418439716312 	 actual rating: 6.6
prediction: 6.51418439716312 	 actual rating: 7.0
prediction: 6.754945054945057 	 actual rating: 5.3
prediction: 7.3128834355828225 	 actual rating: 7.3
prediction: 6.692857142857142 	 actual rating: 6.2
prediction: 6.754945054945057 	 actual rating: 6.3
prediction: 7.912048192771087 	 actual rating: 6.2
prediction: 5.522641509433963 	 actual rating: 4.5
prediction: 7.486206896551723 	 actual rating: 7.6
prediction: 6.51418439716312 	 actual rating: 4.7
prediction: 6.900490196078431 	 actual rating: 6.6
prediction: 7.3128834355828225 	 actual rating: 6.2
prediction: 6.104761904761904 	 actual rating: 7.2
prediction: 6.900490196078431 	 actual rating: 6.5
prediction: 7.3128834355828225 	 actual rating: 6.7
prediction: 7.199319727891158 	 actual rating: 7.9
prediction: 7.3128834355828225 	 actual rating: 8.3
prediction: 6.484166666666667 	 actual rating: 8.0
prediction: 7.912048192771087 	 actual rating: 7.5
prediction: 7.3128834355828225 	 actual rating: 7.7
prediction: 6.51418439716312 	 actual rating: 7.2
prediction: 6.900490196078431 	 actual rating: 7.4
prediction: 4.240909090909091 	 actual rating: 7.8
prediction: 4.240909090909091 	 actual rating: 2.9
prediction: 6.51418439716312 	 actual rating: 6.9
prediction: 6.484166666666667 	 actual rating: 7.3
prediction: 5.522641509433963 	 actual rating: 6.6
prediction: 6.754945054945057 	 actual rating: 5.6
prediction: 7.199319727891158 	 actual rating: 6.9
prediction: 6.185714285714285 	 actual rating: 6.3
prediction: 7.486206896551723 	 actual rating: 8.4
prediction: 6.900490196078431 	 actual rating: 4.9
prediction: 7.577659574468084 	 actual rating: 8.5
prediction: 7.3128834355828225 	 actual rating: 6.9
prediction: 7.577659574468084 	 actual rating: 8.1
prediction: 6.692857142857142 	 actual rating: 5.6
prediction: 6.900490196078431 	 actual rating: 5.6
prediction: 5.522641509433963 	 actual rating: 5.3
prediction: 6.900490196078431 	 actual rating: 8.1
prediction: 6.484166666666667 	 actual rating: 5.5
prediction: 6.51418439716312 	 actual rating: 8.1
prediction: 7.912048192771087 	 actual rating: 7.3
prediction: 6.900490196078431 	 actual rating: 6.0
prediction: 6.900490196078431 	 actual rating: 6.5
prediction: 5.930303030303031 	 actual rating: 5.3
prediction: 7.199319727891158 	 actual rating: 7.2
prediction: 6.484166666666667 	 actual rating: 6.3
prediction: 5.522641509433963 	 actual rating: 5.6
prediction: 6.484166666666667 	 actual rating: 4.8
prediction: 6.754945054945057 	 actual rating: 6.9
prediction: 6.51418439716312 	 actual rating: 5.8
prediction: 6.104761904761904 	 actual rating: 5.2
prediction: 7.486206896551723 	 actual rating: 8.7
prediction: 6.900490196078431 	 actual rating: 6.5
prediction: 6.9606557377049185 	 actual rating: 7.1
prediction: 5.930303030303031 	 actual rating: 5.2
prediction: 7.486206896551723 	 actual rating: 7.4
prediction: 6.484166666666667 	 actual rating: 6.3
prediction: 7.577659574468084 	 actual rating: 8.2
prediction: 7.486206896551723 	 actual rating: 7.7
prediction: 8.75 	 actual rating: 9.2
prediction: 6.9606557377049185 	 actual rating: 8.2
prediction: 7.577659574468084 	 actual rating: 6.7
prediction: 6.900490196078431 	 actual rating: 6.5
prediction: 6.900490196078431 	 actual rating: 6.9
prediction: 6.484166666666667 	 actual rating: 8.0
prediction: 7.199319727891158 	 actual rating: 6.8
prediction: 6.104761904761904 	 actual rating: 7.2
prediction: 7.199319727891158 	 actual rating: 7.9
prediction: 7.199319727891158 	 actual rating: 7.2
prediction: 6.900490196078431 	 actual rating: 5.2
prediction: 6.900490196078431 	 actual rating: 7.9
prediction: 7.199319727891158 	 actual rating: 5.7
prediction: 6.900490196078431 	 actual rating: 7.4
prediction: 7.3128834355828225 	 actual rating: 7.6
prediction: 7.486206896551723 	 actual rating: 6.4
prediction: 6.900490196078431 	 actual rating: 7.8
prediction: 6.104761904761904 	 actual rating: 8.3
prediction: 6.754945054945057 	 actual rating: 7.4
prediction: 6.900490196078431 	 actual rating: 7.0
prediction: 6.484166666666667 	 actual rating: 6.2
prediction: 6.185714285714285 	 actual rating: 4.4
prediction: 7.577659574468084 	 actual rating: 5.9
prediction: 7.3128834355828225 	 actual rating: 7.8
prediction: 6.484166666666667 	 actual rating: 7.3
prediction: 5.930303030303031 	 actual rating: 4.0
prediction: 7.199319727891158 	 actual rating: 6.0
prediction: 5.1499999999999995 	 actual rating: 4.2
prediction: 7.199319727891158 	 actual rating: 8.2
prediction: 7.486206896551723 	 actual rating: 6.9
prediction: 6.9606557377049185 	 actual rating: 6.5
prediction: 6.484166666666667 	 actual rating: 6.5
prediction: 7.199319727891158 	 actual rating: 8.1
prediction: 7.199319727891158 	 actual rating: 8.5
prediction: 7.199319727891158 	 actual rating: 6.5
prediction: 7.486206896551723 	 actual rating: 8.6
prediction: 7.199319727891158 	 actual rating: 7.6
prediction: 8.75 	 actual rating: 9.3
prediction: 6.900490196078431 	 actual rating: 8.2
prediction: 7.199319727891158 	 actual rating: 7.2
prediction: 6.9606557377049185 	 actual rating: 7.8
prediction: 7.577659574468084 	 actual rating: 7.6
prediction: 5.522641509433963 	 actual rating: 5.3
prediction: 7.912048192771087 	 actual rating: 7.8
prediction: 6.104761904761904 	 actual rating: 7.2
prediction: 6.104761904761904 	 actual rating: 6.0
prediction: 6.9606557377049185 	 actual rating: 7.3
prediction: 6.9606557377049185 	 actual rating: 7.7
prediction: 5.522641509433963 	 actual rating: 7.6
prediction: 7.3128834355828225 	 actual rating: 8.4
prediction: 6.9606557377049185 	 actual rating: 7.0
prediction: 7.3128834355828225 	 actual rating: 8.4
prediction: 6.900490196078431 	 actual rating: 7.0
prediction: 6.900490196078431 	 actual rating: 7.1
prediction: 7.577659574468084 	 actual rating: 7.1
prediction: 6.51418439716312 	 actual rating: 6.3
