GBDT MSE = 0.965022
 GBDT RMSE = 0.982355
 GBDT R Squared = 0.271909
 GBDT MAE = 0.773311
 GBDT Explained Variance = 0.517976
 prediction: 6.8667330834870475 	 actual rating: 7.3
prediction: 6.538479039100278 	 actual rating: 7.3
prediction: 6.85584463540908 	 actual rating: 7.4
prediction: 8.087763962693398 	 actual rating: 7.3
prediction: 7.498540657742629 	 actual rating: 7.7
prediction: 7.288020009400395 	 actual rating: 9.1
prediction: 6.895270639015852 	 actual rating: 5.8
prediction: 6.971263045145788 	 actual rating: 6.9
prediction: 7.133008219417727 	 actual rating: 6.4
prediction: 4.9068482214764435 	 actual rating: 4.7
prediction: 5.773929476109864 	 actual rating: 4.9
prediction: 6.202770008661198 	 actual rating: 6.6
prediction: 6.240538174084455 	 actual rating: 7.0
prediction: 6.718620159878005 	 actual rating: 5.3
prediction: 7.236978128494016 	 actual rating: 7.3
prediction: 6.644112461815123 	 actual rating: 6.2
prediction: 7.074705756436228 	 actual rating: 6.3
prediction: 8.087763962693398 	 actual rating: 6.2
prediction: 5.574215002463459 	 actual rating: 4.5
prediction: 7.426220404461159 	 actual rating: 7.6
prediction: 6.795279780891551 	 actual rating: 4.7
prediction: 6.802891429854673 	 actual rating: 6.6
prediction: 7.420283116117342 	 actual rating: 6.2
prediction: 6.099910603752743 	 actual rating: 7.2
prediction: 6.970554377013489 	 actual rating: 6.5
prediction: 7.1591437088019 	 actual rating: 6.7
prediction: 7.159727504201313 	 actual rating: 7.9
prediction: 7.366027708983388 	 actual rating: 8.3
prediction: 6.502484097140983 	 actual rating: 8.0
prediction: 7.788122541832976 	 actual rating: 7.5
prediction: 7.268636276912952 	 actual rating: 7.7
prediction: 6.5264219571822135 	 actual rating: 7.2
prediction: 6.900800221536699 	 actual rating: 7.4
prediction: 4.15302389998226 	 actual rating: 7.8
prediction: 4.300007650207883 	 actual rating: 2.9
prediction: 6.964498372262755 	 actual rating: 6.9
prediction: 6.411437369145757 	 actual rating: 7.3
prediction: 5.287939550850131 	 actual rating: 6.6
prediction: 6.783256952292647 	 actual rating: 5.6
prediction: 7.146802976979132 	 actual rating: 6.9
prediction: 6.108830346668455 	 actual rating: 6.3
prediction: 7.515263334019112 	 actual rating: 8.4
prediction: 6.901262251603472 	 actual rating: 4.9
prediction: 7.543098966234315 	 actual rating: 8.5
prediction: 7.32345679580951 	 actual rating: 6.9
prediction: 7.603163505798678 	 actual rating: 8.1
prediction: 6.67151586543203 	 actual rating: 5.6
prediction: 7.195369304893186 	 actual rating: 5.6
prediction: 5.081824178652822 	 actual rating: 5.3
prediction: 6.895270639015852 	 actual rating: 8.1
prediction: 6.587229427340118 	 actual rating: 5.5
prediction: 6.6230935380179545 	 actual rating: 8.1
prediction: 7.958378142136866 	 actual rating: 7.3
prediction: 6.900800221536699 	 actual rating: 6.0
prediction: 7.076087948454939 	 actual rating: 6.5
prediction: 5.891673619236709 	 actual rating: 5.3
prediction: 7.119506967554597 	 actual rating: 7.2
prediction: 6.462825389241555 	 actual rating: 6.3
prediction: 5.773929476109864 	 actual rating: 5.6
prediction: 6.400665743406549 	 actual rating: 4.8
prediction: 6.44055710634814 	 actual rating: 6.9
prediction: 6.4801432896431646 	 actual rating: 5.8
prediction: 6.1044524794957695 	 actual rating: 5.2
prediction: 7.009910126841289 	 actual rating: 8.7
prediction: 6.870008235670209 	 actual rating: 6.5
prediction: 7.058595835890557 	 actual rating: 7.1
prediction: 5.92881791844614 	 actual rating: 5.2
prediction: 7.473984374302194 	 actual rating: 7.4
prediction: 6.673132971417248 	 actual rating: 6.3
prediction: 7.603163505798678 	 actual rating: 8.2
prediction: 7.531149945271096 	 actual rating: 7.7
prediction: 8.636400041084888 	 actual rating: 9.2
prediction: 7.080610417042505 	 actual rating: 8.2
prediction: 7.565437052218556 	 actual rating: 6.7
prediction: 6.9498244811447405 	 actual rating: 6.5
prediction: 6.843196095950152 	 actual rating: 6.9
prediction: 6.521360678289819 	 actual rating: 8.0
prediction: 7.244262776610531 	 actual rating: 6.8
prediction: 6.056017223719885 	 actual rating: 7.2
prediction: 7.133008219417727 	 actual rating: 7.9
prediction: 7.243810992122381 	 actual rating: 7.2
prediction: 6.811126630232585 	 actual rating: 5.2
prediction: 6.877263233999803 	 actual rating: 7.9
prediction: 7.146951408339247 	 actual rating: 5.7
prediction: 6.877263233999803 	 actual rating: 7.4
prediction: 7.338387366913416 	 actual rating: 7.6
prediction: 7.368231504637823 	 actual rating: 6.4
prediction: 7.264985075388739 	 actual rating: 7.8
prediction: 6.230161022032689 	 actual rating: 8.3
prediction: 6.682215757424147 	 actual rating: 7.4
prediction: 6.8900285957974905 	 actual rating: 7.0
prediction: 6.392399808030121 	 actual rating: 6.2
prediction: 6.097829094787454 	 actual rating: 4.4
prediction: 7.501754267379278 	 actual rating: 5.9
prediction: 7.219208248366263 	 actual rating: 7.8
prediction: 6.493231514915218 	 actual rating: 7.3
prediction: 5.92881791844614 	 actual rating: 4.0
prediction: 7.136975927243643 	 actual rating: 6.0
prediction: 4.55242635946418 	 actual rating: 4.2
prediction: 7.273678383465076 	 actual rating: 8.2
prediction: 7.433838576999812 	 actual rating: 6.9
prediction: 7.0331799441020255 	 actual rating: 6.5
prediction: 6.4959885875983066 	 actual rating: 6.5
prediction: 7.214395385267837 	 actual rating: 8.1
prediction: 7.244262776610531 	 actual rating: 8.5
prediction: 7.077511885709852 	 actual rating: 6.5
prediction: 7.448795818335774 	 actual rating: 8.6
prediction: 7.1234144208023515 	 actual rating: 7.6
prediction: 8.819406340113387 	 actual rating: 9.3
prediction: 6.900800221536699 	 actual rating: 8.2
prediction: 7.244262776610531 	 actual rating: 7.2
prediction: 7.187241257666166 	 actual rating: 7.8
prediction: 7.624530362857911 	 actual rating: 7.6
prediction: 5.559476383377259 	 actual rating: 5.3
prediction: 7.981454532884473 	 actual rating: 7.8
prediction: 6.099910603752743 	 actual rating: 7.2
prediction: 6.041278604633685 	 actual rating: 6.0
prediction: 6.929391167953869 	 actual rating: 7.3
prediction: 6.964147410171968 	 actual rating: 7.7
prediction: 6.024231843349496 	 actual rating: 7.6
prediction: 7.340580004155322 	 actual rating: 8.4
prediction: 7.021407081040147 	 actual rating: 7.0
prediction: 7.349323124269659 	 actual rating: 8.4
prediction: 6.888743139618634 	 actual rating: 7.0
prediction: 6.85584463540908 	 actual rating: 7.1
prediction: 7.603163505798678 	 actual rating: 7.1
prediction: 6.022791449467157 	 actual rating: 6.3
prediction: 6.208537477078678 	 actual rating: 7.4
prediction: 6.726886596694694 	 actual rating: 5.8
prediction: 6.9928670523247165 	 actual rating: 6.8
prediction: 6.935696769560755 	 actual rating: 7.7
prediction: 7.690060251748619 	 actual rating: 6.9
prediction: 6.795279780891551 	 actual rating: 6.3
prediction: 7.604246597184556 	 actual rating: 4.5
prediction: 7.233764518857367 	 actual rating: 5.7
prediction: 6.900800221536699 	 actual rating: 5.9
prediction: 7.157478740135393 	 actual rating: 7.3
prediction: 7.178211154758703 	 actual rating: 7.2
prediction: 6.44739835029207 	 actual rating: 7.2
prediction: 6.994827160685084 	 actual rating: 7.2
