IS MSE = 0.986601
 IS RMSE = 0.993278
 IS R Squared = 0.255628
 IS MAE = 0.801387
 IS Explained Variance = 0.377071
 prediction: 7.018749999999994 	 actual rating: 7.3
prediction: 6.415625000000022 	 actual rating: 7.3
prediction: 7.163366336633438 	 actual rating: 7.4
prediction: 7.545217391304196 	 actual rating: 7.3
prediction: 7.163366336633438 	 actual rating: 7.7
prediction: 7.356934306569219 	 actual rating: 9.1
prediction: 7.162790697674435 	 actual rating: 5.8
prediction: 6.815254237288223 	 actual rating: 6.9
prediction: 7.054736842105188 	 actual rating: 6.4
prediction: 5.815000000000007 	 actual rating: 4.7
prediction: 5.200000000000009 	 actual rating: 4.9
prediction: 6.415625000000022 	 actual rating: 6.6
prediction: 6.09699999999994 	 actual rating: 7.0
prediction: 7.163366336633438 	 actual rating: 5.3
prediction: 7.163366336633438 	 actual rating: 7.3
prediction: 6.700000000000003 	 actual rating: 6.2
prediction: 7.282758620689663 	 actual rating: 6.3
prediction: 7.545217391304196 	 actual rating: 6.2
prediction: 6.09699999999994 	 actual rating: 4.5
prediction: 6.815254237288223 	 actual rating: 7.6
prediction: 5.815000000000007 	 actual rating: 4.7
prediction: 7.163366336633438 	 actual rating: 6.6
prediction: 7.356934306569219 	 actual rating: 6.2
prediction: 6.700000000000003 	 actual rating: 7.2
prediction: 7.356934306569219 	 actual rating: 6.5
prediction: 7.164285714285652 	 actual rating: 6.7
prediction: 6.815254237288223 	 actual rating: 7.9
prediction: 7.163366336633438 	 actual rating: 8.3
prediction: 6.991666666666587 	 actual rating: 8.0
prediction: 7.545217391304196 	 actual rating: 7.5
prediction: 7.163366336633438 	 actual rating: 7.7
prediction: 6.415625000000022 	 actual rating: 7.2
prediction: 6.991666666666587 	 actual rating: 7.4
prediction: 6.415625000000022 	 actual rating: 7.8
prediction: 5.200000000000009 	 actual rating: 2.9
prediction: 6.415625000000022 	 actual rating: 6.9
prediction: 6.815254237288223 	 actual rating: 7.3
prediction: 6.09699999999994 	 actual rating: 6.6
prediction: 7.163366336633438 	 actual rating: 5.6
prediction: 7.054736842105188 	 actual rating: 6.9
prediction: 7.054736842105188 	 actual rating: 6.3
prediction: 6.815254237288223 	 actual rating: 8.4
prediction: 6.815254237288223 	 actual rating: 4.9
prediction: 7.282758620689663 	 actual rating: 8.5
prediction: 7.164285714285652 	 actual rating: 6.9
prediction: 8.338461538461543 	 actual rating: 8.1
prediction: 6.09699999999994 	 actual rating: 5.6
prediction: 7.545217391304196 	 actual rating: 5.6
prediction: 5.200000000000009 	 actual rating: 5.3
prediction: 7.163366336633438 	 actual rating: 8.1
prediction: 6.815254237288223 	 actual rating: 5.5
prediction: 6.09699999999994 	 actual rating: 8.1
prediction: 7.163366336633438 	 actual rating: 7.3
prediction: 7.018749999999994 	 actual rating: 6.0
prediction: 7.356934306569219 	 actual rating: 6.5
prediction: 6.415625000000022 	 actual rating: 5.3
prediction: 7.054736842105188 	 actual rating: 7.2
prediction: 6.815254237288223 	 actual rating: 6.3
prediction: 5.242857142857143 	 actual rating: 5.6
prediction: 6.815254237288223 	 actual rating: 4.8
prediction: 7.545217391304196 	 actual rating: 6.9
prediction: 6.415625000000022 	 actual rating: 5.8
prediction: 6.09699999999994 	 actual rating: 5.2
prediction: 6.815254237288223 	 actual rating: 8.7
prediction: 6.815254237288223 	 actual rating: 6.5
prediction: 6.815254237288223 	 actual rating: 7.1
prediction: 5.815000000000007 	 actual rating: 5.2
prediction: 7.057575757575758 	 actual rating: 7.4
prediction: 6.815254237288223 	 actual rating: 6.3
prediction: 7.356934306569219 	 actual rating: 8.2
prediction: 6.897999999999977 	 actual rating: 7.7
prediction: 7.874999999999995 	 actual rating: 9.2
prediction: 6.815254237288223 	 actual rating: 8.2
prediction: 7.163366336633438 	 actual rating: 6.7
prediction: 7.545217391304196 	 actual rating: 6.5
prediction: 7.054736842105188 	 actual rating: 6.9
prediction: 6.815254237288223 	 actual rating: 8.0
prediction: 6.815254237288223 	 actual rating: 6.8
prediction: 6.415625000000022 	 actual rating: 7.2
prediction: 6.897999999999977 	 actual rating: 7.9
prediction: 7.018749999999994 	 actual rating: 7.2
prediction: 6.815254237288223 	 actual rating: 5.2
prediction: 7.057575757575758 	 actual rating: 7.9
prediction: 7.018749999999994 	 actual rating: 5.7
prediction: 7.057575757575758 	 actual rating: 7.4
prediction: 8.338461538461543 	 actual rating: 7.6
prediction: 6.815254237288223 	 actual rating: 6.4
prediction: 7.545217391304196 	 actual rating: 7.8
prediction: 6.415625000000022 	 actual rating: 8.3
prediction: 7.057575757575758 	 actual rating: 7.4
prediction: 6.815254237288223 	 actual rating: 7.0
prediction: 6.815254237288223 	 actual rating: 6.2
prediction: 6.815254237288223 	 actual rating: 4.4
prediction: 7.163366336633438 	 actual rating: 5.9
prediction: 7.356934306569219 	 actual rating: 7.8
prediction: 6.897999999999977 	 actual rating: 7.3
prediction: 5.815000000000007 	 actual rating: 4.0
prediction: 7.054736842105188 	 actual rating: 6.0
prediction: 4.10769230769231 	 actual rating: 4.2
