LR MSE = 4114922021729546500000.000000
 LR RMSE = 64147657959.816010
 LR R Squared = -3104632000784472500000.000000
 LR MAE = 63810045897.631195
 LR Explained Variance = 4114922021738751000000.000000
 prediction: 6.409504728574797E10 	 actual rating: 7.3
prediction: 6.2395267452859406E10 	 actual rating: 7.3
prediction: 6.691302742007904E10 	 actual rating: 7.4
prediction: 7.588823310172717E10 	 actual rating: 7.3
prediction: 6.954137473400633E10 	 actual rating: 7.7
prediction: 6.729913751542667E10 	 actual rating: 9.1
prediction: 6.403135517738817E10 	 actual rating: 5.8
prediction: 6.197903381332203E10 	 actual rating: 6.9
prediction: 6.67529174718779E10 	 actual rating: 6.4
prediction: 4.900523194040067E10 	 actual rating: 4.7
prediction: 5.4748578789222565E10 	 actual rating: 4.9
prediction: 6.090060389728205E10 	 actual rating: 6.6
prediction: 6.001740471293733E10 	 actual rating: 7.0
prediction: 5.7380664868532074E10 	 actual rating: 5.3
prediction: 6.691899829019096E10 	 actual rating: 7.3
prediction: 5.846977639913481E10 	 actual rating: 6.2
prediction: 6.025379829247983E10 	 actual rating: 6.3
prediction: 7.638364227077884E10 	 actual rating: 6.2
prediction: 5.6252392414620926E10 	 actual rating: 4.5
prediction: 7.112121179427919E10 	 actual rating: 7.6
prediction: 5.959565169394356E10 	 actual rating: 4.7
prediction: 6.836655528738033E10 	 actual rating: 6.6
prediction: 6.72040661379729E10 	 actual rating: 6.2
prediction: 5.8776751130171555E10 	 actual rating: 7.2
prediction: 6.691572737123805E10 	 actual rating: 6.5
prediction: 6.755124884920056E10 	 actual rating: 6.7
prediction: 7.168591776068123E10 	 actual rating: 7.9
prediction: 6.568388079961058E10 	 actual rating: 8.3
prediction: 6.246861843874173E10 	 actual rating: 8.0
prediction: 7.557066561086679E10 	 actual rating: 7.5
prediction: 6.716413750261156E10 	 actual rating: 7.7
prediction: 6.165003599635127E10 	 actual rating: 7.2
prediction: 6.397621646839674E10 	 actual rating: 7.4
prediction: 4.912704803474046E10 	 actual rating: 7.8
prediction: 4.1012868583687996E10 	 actual rating: 2.9
prediction: 6.4351850634938614E10 	 actual rating: 6.9
prediction: 5.934156557096686E10 	 actual rating: 7.3
prediction: 6.1615559927746155E10 	 actual rating: 6.6
prediction: 6.136431690524951E10 	 actual rating: 5.6
prediction: 6.596410212576015E10 	 actual rating: 6.9
prediction: 5.023981675110907E10 	 actual rating: 6.3
prediction: 7.107841382355414E10 	 actual rating: 8.4
prediction: 5.9938793446075836E10 	 actual rating: 4.9
prediction: 7.128431685468817E10 	 actual rating: 8.5
prediction: 6.663053955917693E10 	 actual rating: 6.9
prediction: 7.414340144012074E10 	 actual rating: 8.1
prediction: 5.768143348880086E10 	 actual rating: 5.6
prediction: 6.652131627864824E10 	 actual rating: 5.6
prediction: 5.315151487996242E10 	 actual rating: 5.3
prediction: 6.3705830009034775E10 	 actual rating: 8.1
prediction: 5.403047990774194E10 	 actual rating: 5.5
prediction: 6.135649459615736E10 	 actual rating: 8.1
prediction: 6.997031141814224E10 	 actual rating: 7.3
prediction: 6.4033196976974724E10 	 actual rating: 6.0
prediction: 6.57078518859388E10 	 actual rating: 6.5
prediction: 5.350460836965408E10 	 actual rating: 5.3
prediction: 7.083975671143509E10 	 actual rating: 7.2
prediction: 5.945571661156891E10 	 actual rating: 6.3
prediction: 5.521112074418476E10 	 actual rating: 5.6
prediction: 5.77916924531272E10 	 actual rating: 4.8
prediction: 6.360425487720416E10 	 actual rating: 6.9
prediction: 6.502976830198327E10 	 actual rating: 5.8
prediction: 5.5697466534832E10 	 actual rating: 5.2
prediction: 6.567361517575891E10 	 actual rating: 8.7
prediction: 6.592366479521475E10 	 actual rating: 6.5
prediction: 6.67678500737404E10 	 actual rating: 7.1
prediction: 5.0787545733383896E10 	 actual rating: 5.2
prediction: 7.155927911616008E10 	 actual rating: 7.4
prediction: 5.800256208309875E10 	 actual rating: 6.3
prediction: 6.981858838817685E10 	 actual rating: 8.2
prediction: 7.070204265925414E10 	 actual rating: 7.7
prediction: 7.62998172553087E10 	 actual rating: 9.2
prediction: 6.63104024108367E10 	 actual rating: 8.2
prediction: 6.988398524388475E10 	 actual rating: 6.7
prediction: 6.683987858623126E10 	 actual rating: 6.5
prediction: 6.46911853326837E10 	 actual rating: 6.9
prediction: 5.949008277884723E10 	 actual rating: 8.0
prediction: 6.800364695640106E10 	 actual rating: 6.8
prediction: 5.752315026685322E10 	 actual rating: 7.2
prediction: 6.5817818373307495E10 	 actual rating: 7.9
prediction: 6.675098007986124E10 	 actual rating: 7.2
prediction: 6.1371063368295425E10 	 actual rating: 5.2
prediction: 6.452694997806176E10 	 actual rating: 7.9
prediction: 6.812349109485675E10 	 actual rating: 5.7
prediction: 6.5616352670520325E10 	 actual rating: 7.4
prediction: 7.125098429858578E10 	 actual rating: 7.6
prediction: 6.799899719536998E10 	 actual rating: 6.4
prediction: 6.562800433412961E10 	 actual rating: 7.8
prediction: 6.067143013502582E10 	 actual rating: 8.3
prediction: 5.978943177005476E10 	 actual rating: 7.4
prediction: 6.295767741529024E10 	 actual rating: 7.0
prediction: 6.046452863281268E10 	 actual rating: 6.2
prediction: 3.9626668010870476E10 	 actual rating: 4.4
prediction: 6.7945242012093445E10 	 actual rating: 5.9
prediction: 6.799050611922292E10 	 actual rating: 7.8
prediction: 5.527720593096974E10 	 actual rating: 7.3
prediction: 5.253030104708102E10 	 actual rating: 4.0
prediction: 5.887666512304893E10 	 actual rating: 6.0
prediction: 6.145989312470849E10 	 actual rating: 4.2
prediction: 6.788631580604773E10 	 actual rating: 8.2
prediction: 6.8313144814245895E10 	 actual rating: 6.9
prediction: 6.029829005942442E10 	 actual rating: 6.5
prediction: 6.28697267870724E10 	 actual rating: 6.5
prediction: 6.777267594494496E10 	 actual rating: 8.1
prediction: 6.930237545292012E10 	 actual rating: 8.5
prediction: 6.562699387635112E10 	 actual rating: 6.5
prediction: 7.270095680041057E10 	 actual rating: 8.6
prediction: 6.6709653301910065E10 	 actual rating: 7.6
prediction: 7.91569641905593E10 	 actual rating: 9.3
prediction: 6.4542277339062096E10 	 actual rating: 8.2
prediction: 6.927426727414719E10 	 actual rating: 7.2
prediction: 6.53335409415246E10 	 actual rating: 7.8
prediction: 6.980251284347237E10 	 actual rating: 7.6
prediction: 5.49876780945178E10 	 actual rating: 5.3
prediction: 7.674992491620067E10 	 actual rating: 7.8
prediction: 5.8203689422280304E10 	 actual rating: 7.2
prediction: 5.5229310619676895E10 	 actual rating: 6.0
prediction: 6.438124935323375E10 	 actual rating: 7.3
prediction: 6.395551501613062E10 	 actual rating: 7.7
prediction: 5.6862982668777596E10 	 actual rating: 7.6
prediction: 7.680634608641782E10 	 actual rating: 8.4
prediction: 6.043569198348071E10 	 actual rating: 7.0
prediction: 6.7799196556815186E10 	 actual rating: 8.4
prediction: 6.2699394862642715E10 	 actual rating: 7.0
prediction: 6.620461144339789E10 	 actual rating: 7.1
prediction: 7.141720218954709E10 	 actual rating: 7.1
prediction: 5.993413937163765E10 	 actual rating: 6.3
prediction: 5.868752607450346E10 	 actual rating: 7.4
prediction: 6.365025143775176E10 	 actual rating: 5.8
prediction: 6.713954722694473E10 	 actual rating: 6.8
prediction: 6.143267372324037E10 	 actual rating: 7.7
prediction: 6.205524856084649E10 	 actual rating: 6.9
prediction: 5.8903633857380356E10 	 actual rating: 6.3
prediction: 6.5725535998625534E10 	 actual rating: 4.5
prediction: 6.824255683477161E10 	 actual rating: 5.7
prediction: 6.4700424520309204E10 	 actual rating: 5.9
prediction: 6.914356300734502E10 	 actual rating: 7.3
prediction: 6.6956011355697426E10 	 actual rating: 7.2
prediction: 6.0326619604583244E10 	 actual rating: 7.2
prediction: 6.7892140444551994E10 	 actual rating: 7.2
