 RFM MSE = 0.855746
 RFM RMSE = 0.925065
 RFM R Squared = 0.354356
 RFM MAE = 0.739490
 RFM Explained Variance = 0.345343
prediction: 6.862970375527686 	 actual rating: 7.3
prediction: 6.585093185207205 	 actual rating: 7.3
prediction: 7.062024141670475 	 actual rating: 7.4
prediction: 8.09758204545553 	 actual rating: 7.3
prediction: 7.340517300972499 	 actual rating: 7.7
prediction: 7.139833227069024 	 actual rating: 9.1
prediction: 6.854338082792205 	 actual rating: 5.8
prediction: 6.755209729372038 	 actual rating: 6.9
prediction: 7.137892041251718 	 actual rating: 6.4
prediction: 4.983808806637572 	 actual rating: 4.7
prediction: 5.849660415200406 	 actual rating: 4.9
prediction: 6.453222853080218 	 actual rating: 6.6
prediction: 6.362992411487599 	 actual rating: 7.0
prediction: 6.549894500406291 	 actual rating: 5.3
prediction: 7.2159876110138805 	 actual rating: 7.3
prediction: 6.414194507521325 	 actual rating: 6.2
prediction: 6.730125432337875 	 actual rating: 6.3
prediction: 8.09758204545553 	 actual rating: 6.2
prediction: 5.971195039647073 	 actual rating: 4.5
prediction: 7.456355108774833 	 actual rating: 7.6
prediction: 6.416125134315161 	 actual rating: 4.7
prediction: 7.069469634730547 	 actual rating: 6.6
prediction: 7.253138450351005 	 actual rating: 6.2
prediction: 6.398360115329371 	 actual rating: 7.2
prediction: 7.032667748792924 	 actual rating: 6.5
prediction: 7.193523233608512 	 actual rating: 6.7
prediction: 7.306940995891414 	 actual rating: 7.9
prediction: 7.133493936271337 	 actual rating: 8.3
prediction: 6.713125768782564 	 actual rating: 8.0
prediction: 7.770914138996266 	 actual rating: 7.5
prediction: 7.235881300204121 	 actual rating: 7.7
prediction: 6.636202593378492 	 actual rating: 7.2
prediction: 6.915958357696406 	 actual rating: 7.4
prediction: 5.471999292742567 	 actual rating: 7.8
prediction: 4.582084535653956 	 actual rating: 2.9
prediction: 6.859094217385131 	 actual rating: 6.9
prediction: 6.562524791285694 	 actual rating: 7.3
prediction: 6.344955801253871 	 actual rating: 6.6
